ProductPermissionGroup,CatalogPermissionGroup,Region,SoldToID,SoldToName,CurrencyCode,PriceGroup,AccessKey,Address1,Address2,Address3,City,State,PostalCode,Country,Warehouse,Language
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000265,LIMITS SPORTING GOODS,USD,D,1000265elast,3848 FRONT ST,,,WINNSBORO,LA,71295,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000092,CROOK & CROOK,USD,D,1000092elast,2795 SW 27TH AVENUE,,,MIAMI,FL,33133,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000114,PREMIER TACKLE,USD,D,1000114elast,2539 LAKEWOOD RANCH BLVD,,,BRADENTON,FL,34211,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000115,BREAKERS SURF SHOP,USD,D,1000115elast,108 GARFIELD PKWY.,,,BETHANY BEACH,DE,19930,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000124,TEACH'S LAIR MARINA,USD,D,1000124elast,58646 NC HIGHWAY 12,,,HATTERAS,NC,27943,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000164,PESCA DEL MAR OUTDOORS,USD,D,1000164elast,AV AZTECA 983,,,ENSENADA BAJA CALIFORNIA,NA,22800,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000232,INTRACOASTAL ANGLER OF NC,USD,D,1000232elast,6332 OLEANDER DR.,,,WILMINGTON,NC,28403,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000233,PORT ROYALE MARINA,USD,D,1000233elast,8800 PORT ROYALE DR.,,,GAINESVILLE,GA,30506,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000266,INTERNATIONAL ANGLER,USD,D,1000266elast,5275 STEUBENVILLE PIKE,,,PITTSBURGH,PA,15205,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000267,ASPIRE OUTDOORS,USD,D,1000267elast,P O BOX 1420,,,MOUNTAIN HOME,AR,72654,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000268,WAYNE LEE'S GROCERY & MARKET,USD,D,1000268elast,1317 TELEPHONE RD.,,,PASCAGOULA,MS,39567,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000269,RAMBO OUTDOORS,USD,D,1000269elast,2335 MACARTHUR DRIVE,,,ORANGE,TX,77630,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000001,CAPTAIN HARRY'S,USD,D,1000001elast,8501 NW 7TH AVENUE,,,MIAMI,FL,33150,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000003,STRIKE ZONE,USD,D,1000003elast,2771 NEW HAVEN AVENUE,,,MELBOURNE,FL,32904,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000006,SUNGLASS WORLD OF NW FLORIDA,USD,D,1000006elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000007,FISH ON TACKLE,USD,D,1000007elast,3733 HWY 27 SOUTH,,,SULPHUR,LA,70665,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000008,HANDLER CUSTOM RODS,USD,D,1000008elast,270 BORMAN DRIVE,,,MERRITT ISLAND,FL,32953,USA,DEFAULT,EN
DEFAULT,DEFAULT,GLOBAL,1000053,DENISE ALONZO - PROMOTIONAL ACCT,USD,PL,1000053elast,3235 ALLING COURT,,,DELTONA,FL,32725,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000078,BLUELINE SURF & PADDLE CO.,USD,D,1000078elast,997 N. A1A,,,JUPITER,FL,33477,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000087,CUDJOE SALES,USD,D,1000087elast,22536 OVERSEAS HWY,,,CUDJOE KEY,FL,33042,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000088,SEVEN MILE FLY SHOP,USD,D,1000088elast,1638 OVERSEAS HWY,,,MARATHON,FL,33050,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000093,PROCTOR ACE - PONTE VEDRA BCH,USD,D,1000093elast,870 A1A NORTH,,,PONTE VEDRA BEACH,FL,32082,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000099,CUSTOM ROD & REEL,USD,D,1000099elast,1790 N FEDERAL HIGHWAY,,,POMPANO BEACH,FL,33062,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000107,"SHROCKS MARINA, INC",USD,D,1000107elast,520 HIDDEN BEACH RD,,,MARBLEHEAD,OH,43440,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000111,ANGLERS ALL,USD,D,1000111elast,5211  S. SANTA FE DRIVE,,,LITTLETON,CO,80120,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000009,CATEYE BAIT & TACKLE LLC/ BMT OUTDOORS,USD,D,1000009elast,3005 W PARKWAY DRIVE,,,RUSSELLVILLE,AR,72801,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000010,FUN N SUN SPORTS CENTER,USD,D,1000010elast,320 W HURST BLVD,,,HURST,TX,76053,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000011,BIG DOG TACKLE,USD,D,1000011elast,1440 N FEDERAL HWY,,,POMPANO BEACH,FL,33062,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000012,ISLAMORADA FISHING OUTFITTERS,USD,LP,1000012elast,90290 OVERSEAS HWY,SUITE 102 & 103,,TAVERNIER,FL,33070,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000013,OFF THE HOOK B&T,USD,D,1000013elast,12240 OVERSEAS HIGHWAY,,,MARATHON,FL,33050,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000014,RENNWORKS OUTDOORS,USD,D,1000014elast,2446 LYNNDALE ROAD,,,FERNANDINA BEACH,FL,32034,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000015,MARC SMITH - SAMPLE ACCOUNT,USD,E,1000015elast,"2100 MANCHESTER RD, BLDG A",SUITE 303,,WHEATON,IL,60187,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000016,ROB DIFATTA - SAMPLE ACCOUNT HM2,USD,E,1000016elast,"2100 MANCHESTER RD, BLDG A",SUITE 303,,WHEATON,IL,60187,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000017,MARTY SALCHAK - SAMPLE ACCOUNT HM3,USD,E,1000017elast,623 VALLEY CREST DRIVE,,,NEW FRANKLIN,OH,44319,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000018,GED STRYZYNSKI - SAMPLE ACCOUNT HM4,USD,E,1000018elast,650 WEST US HWY 10-31,,,SCOTTVILLE,MI,49454,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000019,JOHN FOLEY - SAMPLE ACCOUNT HM5,USD,E,1000019elast,13988 TWIN LAKES CIRCLE WEST,,,CARMEL,IN,46074,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000084,FAST BREAK INC,USD,D,1000084elast,1505 ST RD 78 WEST,,,OKEECHOBEE,FL,34974,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000094,CORTEZ ACE HARDWARE,USD,D,1000094elast,9516 CORTEZ RD W,UNIT 1,,BRADENTON,FL,34210,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000105,"TACKLE HAVEN, INC.",USD,LP,1000105elast,741 RIVERVIEW DR,,,BENTON HARBOR,MI,49022,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000106,FRANK'S GREAT OUTDOORS,USD,D,1000106elast,1212 N HURON ROAD,,,LINWOOD,MI,48634,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000120,TCO FLY SHOP,USD,D,1000120elast,2229 PENN AVE,,,WEST LAWN,PA,19609,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000123,IVEY'S OUTDOOR,USD,PH,1000123elast,108 N. WESTOVER BLVD.,,,ALBANY,GA,31707,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000126,OCONEE BAIT & TACKLE,USD,D,1000126elast,754 CENTRAL DRIVE,,,EAST DUBLIN,GA,31027,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000152,CHAG'S,USD,D,1000152elast,4740 VETERANS BLVD,,,METAIRE,LA,70006,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000153,SALTY DOG SURF SHOP,USD,D,1000153elast,201 EAST GRANADA BLVD,,,ORMOND BEACH,FL,32176,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000161,BAMBOOTIQUE,USD,D,1000161elast,318 BAY WALK,,,OCEAN BEACH,NY,11770,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000162,LOOKSTORE S.A.,USD,PH,1000162elast,MALL DEL PACIFICO,,,MANTA NANABI,NA,130802,ECUADOR,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000167,4 STREET SURF & SKATE,USD,D,1000167elast,ZARAGOZA 40,,,LA PAZ BAJA CALIFORNIA SU,NA,92154,MEXICO,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000184,BLACK DOG OUTDOOR SPORTS,USD,D,1000184elast,122 SARATOGA ROAD,,,GLENVILLE,NY,12302,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000227,DOCTORS EYE CENTER,USD,D,1000227elast,1205 HWY 327 E,,,SILSBEE,TX,77656,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000245,STEINHATCHEE MARINA,USD,D,1000245elast,25655 MARSH LANDING PKWY,,,PONTE VEDRA BEACH,FL,32082,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000246,TACKLE ADDICT LLC,USD,D,1000246elast,3755 US HWY 255,,,BROOKELAND,TX,75931,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000247,FLY MASTERS OF INDIANAPOLIS,USD,D,1000247elast,8232 ALLISONVILLE ROAD,,,INDIANAPOLIS,IN,46250,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000248,PORT ARANSAS FISHERMAN'S WHARF,USD,D,1000248elast,802 N. CARANCAHUA,SUITE 1640,,CORPUS CHRISTI,TX,78401,USA,DEFAULT,EN
DEFAULT,DEFAULT,GLOBAL,1000047,AL PERKINSON - PROMOTIONAL ACCT,USD,PL,1000047elast,1674 TIONIA ROAD,,,NEW SMYRNA BEACH,FL,32168,USA,DEFAULT,EN
DEFAULT,DEFAULT,GLOBAL,1000048,MARGUERITE MEYER - PROMOTIONAL ACCOUNT,USD,PL,1000048elast,1674 TIONIA ROAD,,,NEW SMYRNA BEACH,FL,32168,USA,DEFAULT,EN
DEFAULT,DEFAULT,GLOBAL,1000049,J RANDALL PARKER - PROMOTIONAL ACCT,USD,PL,1000049elast,1674 TIONIA ROAD,,,NEW SMYRNA BEACH,FL,32168,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000056,SUNGLASS WORLD OF NW FL - BILOXI,USD,D,1000056elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000057,SUNGLASS WORLD OF NW FL - MOBILE,USD,D,1000057elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000058,SUNGLASS WORLD OF NW FL - GAINESVILLE,USD,D,1000058elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000059,SUNGLASS WORLD OF NW FL - PIER PARK,USD,D,1000059elast,2403 JENKS AVE,,,PANAMA CITY,FL,32413,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000060,SUNGLASS WORLD OF NW FL - HARBORWALK,USD,D,1000060elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000061,SUNGLASS WORLD OF NW FL - TALLAHASSEE,USD,D,1000061elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000062,SUNGLASS WORLD OF NW FL - DESTIN COMMONS,USD,D,1000062elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000063,SUNGLASS WORLD OF NW FL - TPO,USD,D,1000063elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000064,SUNGLASS WORLD OF NW FL - PENSACOLA,USD,D,1000064elast,3403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000066,SUNGLASS WORLD OF NW FL - FOLEY,USD,D,1000066elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000067,SUNGLASS WORLD OF NW FL - SAVANNAH,USD,D,1000067elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000068,SUNGLASS WORLD OF NW FL - SILVER SANDS,USD,D,1000068elast,2403 JENKS AVE,,,PANAMA CITY,FL,32405,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000069,BLUFFS TACKLE & MARINE,USD,D,1000069elast,2715 WESTBAY DRIVE,,,BELLEAIR BLUFFS,FL,33770,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000081,"MUD HOLE CUSTOM TACKLE, INC",USD,D,1000081elast,2133 COMPONENT LOOP,,,OVIEDO,FL,32765,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000082,SODIUM FISHING GEAR,USD,D,1000082elast,7763 GULF TO LAKE HWY,,,CRYSTAL RIVER,FL,34429,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000085,THE SALTWATER ANGLER,USD,F,1000085elast,243 FRONT STREET,,,KEY WEST,FL,33040,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000086,TACKLE CENTER OF ISLAMORADA,USD,D,1000086elast,82661 OVERSEAS HWY,,,ISLAMORADA,FL,33036,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000116,ADEL OUTFITTERS LLC,USD,D,1000116elast,1221 W 4TH ST.,,,ADEL,GA,31620,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000117,SUGAR CREEK MARINA,USD,D,1000117elast,353 PARKS MILL ROAD,,,BUCKHEAD,GA,30625,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000118,SEA GEAR OUTFITTERS,USD,D,1000118elast,795 ROUTE 109,,,CAPE MAY,NJ,08204,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000121,MARSH'S SURF SHOP,USD,D,1000121elast,615 ATLANTIC BEACH CAUSEWAY,,,ATLANTIC BEACH,NC,28512,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000137,BOAT AND MOTOR SUPERSTORE,USD,D,1000137elast,36851 US HWY 19,,,PALM HARBOR,FL,34684,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000138,SHADES SUNGLASSES,USD,D,1000138elast,4830 WHARF PKWY,SUITE G210,,ORANGE BEACH,AL,36561,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000139,STRIKE-ZONE FISHING,USD,D,1000139elast,11702 BEACH BLVD,,,JACKSONVILLE,FL,32246,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000140,ECLIPSE ISLA MUJERES,USD,LP,1000140elast,SPM 4 MZNA 93 LOTE 16,ISLA MUJERES,,QUINTANA ROO,NA,77400,MEXICO,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000143,ASCENSION LIVING & OUTDOORS,USD,D,1000143elast,202 W. ASCENSION ST.,,,GONZALES,LA,70737,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000147,KEVIN'S GUNS AND SPORTING GOODS,USD,D,1000147elast,3350 CAPITAL CIRCLE,,,TALLAHASSEE,FL,32308,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000173,ISLAND TACKLE & HARDWARE,USD,D,1000173elast,801 N LAKE PARK BLVD,,,CAROLINA BEACH,NC,28428,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000174,HADDAD'S,USD,D,1000174elast,69 CRIGGER,,,MUNFORD,TN,38058,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000175,MAK'S,USD,D,1000175elast,2102 HWY 11,,,PETAL,MS,39465,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000178,OCEAN MOTION SURF CO.,USD,D,1000178elast,1300 OCEAN BLVD.,,,ST SIMONS ISLAND,GA,31522,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000206,OUTCAST BAIT AND TACKLE,USD,D,1000206elast,3520 BARRANCAS AVE,,,PENSACOLA,FL,32507,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000207,JET SET SURF SHOP,USD,D,1000207elast,674 BALD EAGLE DR.,,,MARCO ISLAND,FL,34145,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000218,BEST FISHING TACKLE,USD,D,1000218elast,4915 W ROSECRANS AVE,,,HAWTHORNE,CA,90250,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000135,EL PESCADOR GUATEMALA,USD,D,1000135elast,20 CALLE 16-03,ZONA 10,,CIUDAD DE GUATEMALA,NA,00000,GUATEMALA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000136,OFFSHORE IMPORTS SA DE CV DBA EL PESCADO,USD,LP,1000136elast,PASEO GENERAL ESCALON,#4715,,SAN SALVADOR,NA,00000,EL SALVADOR,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000165,RC / BP LLC,USD,E,1000165elast,100 SOUTH OCEAN BLVD,,,MANALAPAN,FL,33462,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000166,CAPTAIN CHUCKS II INC,USD,D,1000166elast,75 N. JEBAVY RD,,,LUDINGTON,MI,49431,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000219,"HALF HITCH TACKLE CO, INC",USD,D,1000219elast,2206 NAVY BLVD,,,PANAMA CITY BEACH,FL,32408,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000220,TA MAHONEY,USD,D,1000220elast,4990 E ADAMO DR.,,,TAMPA,FL,33605,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000221,BAJAMARK S DE RL DE CV,USD,D,1000221elast,ALLENDE,LA PAZ,,BAJA CALIFORNIA SUR,NA,2300,MEXICO,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000228,FRONTIER ANGLERS LLC,USD,C,1000228elast,680 N. MONTANA ST,,,DILLON,MT,59725,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000229,J&M TACKLE,USD,D,1000229elast,25125 CANAL RD,,,ORANGE BEACH,AL,36561,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000230,WILEY'S TRADING COMPANY,USD,D,1000230elast,1820 6TH AVENUE,UNIT U,,DECATUR,AL,35601,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000231,THE REEL OUTDOORS,USD,D,1000231elast,7802 EMERALD DRIVE,,,EMERALD ISLE,NC,28594,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000236,VOLUSIA TOP GUN,USD,D,1000236elast,2900 BELLEVUE AVE,,,DAYTONA BEACH,FL,32124,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000243,OUTDOOR PRO SHOP,USD,D,1000243elast,412 HOUSER ST.,,,COTATI,CA,94931,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000253,G FIVE FEED & OUTDOOR,USD,D,1000253elast,4960 US HIGHWAY 92 W,,,PLANT CITY,FL,33563,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000254,MAYODAN RIVER OUTFITTERS,USD,D,1000254elast,100 E MAIN STREET,,,MAYODAN,NC,27027,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000255,K-COAST SURF SHOP,USD,D,1000255elast,3505 COASTAL HWY,,,OCEAN CITY,MD,21842,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000259,WESTERN RIVERS FLYFISHER,USD,C,1000259elast,1071 E 900 S,,,SALT LAKE CITY,UT,84105,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000260,BEAMISH CUSTOM TACKLE,USD,D,1000260elast,76 DOCKSIDE DRIVE,#111,,ST. AUGUSTINE,FL,32084,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000089,ORLANDO OUTFITTERS,USD,D,1000089elast,2814 CORRINE DRIVE,,,ORLANDO,FL,32803,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000090,BETT'S TACKLE,USD,D,1000090elast,8926 126TH AVE N,,,LARGO,FL,33773,USA,DEFAULT,EN
DEFAULT,"DEFAULT,DUCKS",GLOBAL,1000122,FISH HEADS OF STUART,USD,D,1000122elast,3585 SE SAINT LUCIE BLVD.,,,STUART,FL,34997,USA,DEFAULT,EN
